,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,region,Datetime,Easting,Northing
827,,,34,54.28917,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.11881,Dosso,2020-04-07,1001447.7066348705,-4062026.6601788206
828,,,34,54.28917,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.11881,Dosso,2020-04-08,1001447.7066348705,-4062026.6601788206
829,,,34,54.28917,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,35.11881,Dosso,2020-04-09,1001447.7066348705,-4062026.6601788206
830,106.747809152872,106.810000972857,34,54.527,0.0,13.195701407046212,3.542856740001413,0.1836928,102.300810420733,2446823,,0.7709999999999999,0.0,34.794970000000006,Dosso,2020-04-10,1001447.7066348705,-4062026.6601788206
831,,,34,54.08982,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,34.462709999999994,Dosso,2020-04-11,1001447.7066348705,-4062026.6601788206
832,,,34,55.10620999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,33.23121,Dosso,2020-04-12,1001447.7066348705,-4062026.6601788206
833,,,34,54.94617,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,33.45521,Dosso,2020-04-13,1001447.7066348705,-4062026.6601788206
834,,,34,55.83433,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,33.691759999999995,Dosso,2020-04-14,1001447.7066348705,-4062026.6601788206
835,,,34,56.60863000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,32.98378000000001,Dosso,2020-04-15,1001447.7066348705,-4062026.6601788206
836,,,34,56.35500999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,33.14883999999999,Dosso,2020-04-16,1001447.7066348705,-4062026.6601788206
837,,,34,57.05165000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,32.79164,Dosso,2020-04-17,1001447.7066348705,-4062026.6601788206
838,,,34,56.80679000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,32.6263,Dosso,2020-04-18,1001447.7066348705,-4062026.6601788206
839,,,34,56.93136,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,32.820609999999995,Dosso,2020-04-19,1001447.7066348705,-4062026.6601788206
840,108.102325581395,108.310120705664,34,56.71327,0.0,13.195701407046212,3.542856740001413,0.1815926,102.396716833524,2446823,,0.6859999999999999,0.0,33.07795000000001,Dosso,2020-04-20,1001447.7066348705,-4062026.6601788206
841,,,34,56.44633,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,32.66525,Dosso,2020-04-21,1001447.7066348705,-4062026.6601788206
842,,,34,57.09551999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,0.0,33.09942000000001,Dosso,2020-04-22,1001447.7066348705,-4062026.6601788206
843,,,34,57.09551999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,1.0,33.68421,Dosso,2020-04-23,1001447.7066348705,-4062026.6601788206
844,,,34,57.22265,0.0,13.195701407046212,3.542856740001413,,,2446823,,,2.0,33.85977999999999,Dosso,2020-04-24,1001447.7066348705,-4062026.6601788206
845,,,34,57.50573000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,3.0,33.65164,Dosso,2020-04-25,1001447.7066348705,-4062026.6601788206
846,,,34,57.93727,0.0,13.195701407046212,3.542856740001413,,,2446823,,,4.0,33.15374,Dosso,2020-04-26,1001447.7066348705,-4062026.6601788206
847,,,34,58.61398000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,5.0,33.21004,Dosso,2020-04-27,1001447.7066348705,-4062026.6601788206
848,,,34,58.92473,0.0,13.195701407046212,3.542856740001413,,,2446823,,,6.0,32.92278,Dosso,2020-04-28,1001447.7066348705,-4062026.6601788206
849,,,34,59.3485,0.0,13.195701407046212,3.542856740001413,,,2446823,,,7.0,33.80879,Dosso,2020-04-29,1001447.7066348705,-4062026.6601788206
850,105.612120224811,106.775814556654,34,59.13672,0.0,13.195701407046212,3.542856740001413,0.1796226,101.872386338731,2446823,0.2734369271284339,1.509,8.0,33.73265,Dosso,2020-04-30,1001447.7066348705,-4062026.6601788206
851,,,34,58.80129000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,9.0,33.73038,Dosso,2020-05-01,1001447.7066348705,-4062026.6601788206
852,,,34,59.421940000000006,0.0,13.195701407046212,3.542856740001413,,,2446823,,,10.0,33.9228,Dosso,2020-05-02,1001447.7066348705,-4062026.6601788206
853,,,34,59.31242999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,11.0,34.07631,Dosso,2020-05-03,1001447.7066348705,-4062026.6601788206
854,,,34,58.92995,0.0,13.195701407046212,3.542856740001413,,,2446823,,,12.0,34.14165,Dosso,2020-05-04,1001447.7066348705,-4062026.6601788206
855,,,34,58.53565,0.0,13.195701407046212,3.542856740001413,,,2446823,,,13.0,34.19996,Dosso,2020-05-05,1001447.7066348705,-4062026.6601788206
856,,,34,58.26286999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,14.0,34.66564,Dosso,2020-05-06,1001447.7066348705,-4062026.6601788206
857,,,34,57.75927000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,15.0,34.519299999999994,Dosso,2020-05-07,1001447.7066348705,-4062026.6601788206
858,,,34,57.92369999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,16.0,34.332890000000006,Dosso,2020-05-08,1001447.7066348705,-4062026.6601788206
859,,,34,57.89372,0.0,13.195701407046212,3.542856740001413,,,2446823,,,17.0,34.82865,Dosso,2020-05-09,1001447.7066348705,-4062026.6601788206
860,69.08658281940471,72.8535837485627,34,57.34926,0.0,13.195701407046212,3.542856740001413,0.1775174,101.218668544667,2446823,,2.032,18.0,34.55982,Dosso,2020-05-10,1001447.7066348705,-4062026.6601788206
861,,,34,57.51974000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,19.0,34.77758999999999,Dosso,2020-05-11,1001447.7066348705,-4062026.6601788206
862,,,34,58.560930000000006,0.0,13.195701407046212,3.542856740001413,,,2446823,,,20.0,34.808820000000004,Dosso,2020-05-12,1001447.7066348705,-4062026.6601788206
863,,,34,58.88389,0.0,13.195701407046212,3.542856740001413,,,2446823,,,21.0,34.56346,Dosso,2020-05-13,1001447.7066348705,-4062026.6601788206
864,,,34,59.23200999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,22.0,34.77481000000001,Dosso,2020-05-14,1001447.7066348705,-4062026.6601788206
865,,,34,59.77458000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,23.0,34.05395,Dosso,2020-05-15,1001447.7066348705,-4062026.6601788206
866,,,34,59.37895,0.0,13.195701407046212,3.542856740001413,,,2446823,,,24.0,34.08558,Dosso,2020-05-16,1001447.7066348705,-4062026.6601788206
867,,,34,59.46963,0.0,13.195701407046212,3.542856740001413,,,2446823,,,25.0,34.04408,Dosso,2020-05-17,1001447.7066348705,-4062026.6601788206
868,,,34,59.5272,0.0,13.195701407046212,3.542856740001413,,,2446823,,,26.0,34.03839,Dosso,2020-05-18,1001447.7066348705,-4062026.6601788206
869,,,34,59.17891999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,27.0,34.33129999999999,Dosso,2020-05-19,1001447.7066348705,-4062026.6601788206
870,70.4795515881254,74.2619304394716,34,58.73505000000001,0.0,13.195701407046212,3.542856740001413,0.1756914,100.557744711718,2446823,,6.829,28.0,34.7046,Dosso,2020-05-20,1001447.7066348705,-4062026.6601788206
871,,,34,59.06885,0.0,13.195701407046212,3.542856740001413,,,2446823,,,29.0,34.42387000000001,Dosso,2020-05-21,1001447.7066348705,-4062026.6601788206
872,,,34,59.86518,0.0,13.195701407046212,3.542856740001413,,,2446823,,,30.0,33.75843,Dosso,2020-05-22,1001447.7066348705,-4062026.6601788206
873,,,34,59.1791,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,34.29104000000001,Dosso,2020-05-23,1001447.7066348705,-4062026.6601788206
874,,,34,59.1791,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,34.29104000000001,Dosso,2020-05-24,1001447.7066348705,-4062026.6601788206
875,,,34,59.23792,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,34.53532,Dosso,2020-05-25,1001447.7066348705,-4062026.6601788206
876,,,34,59.46147000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,33.3519,Dosso,2020-05-26,1001447.7066348705,-4062026.6601788206
877,,,34,60.13023000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.07442,Dosso,2020-05-27,1001447.7066348705,-4062026.6601788206
878,,,34,60.91503,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.07376,Dosso,2020-05-28,1001447.7066348705,-4062026.6601788206
879,,,34,60.20942,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.39491,Dosso,2020-05-29,1001447.7066348705,-4062026.6601788206
880,,,34,60.02254,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.6363,Dosso,2020-05-30,1001447.7066348705,-4062026.6601788206
881,73.0567718747627,76.55984897364209,34,60.15816,0.0,13.195701407046212,3.542856740001413,0.172802,99.22115653956408,2446823,0.3118858738771528,10.003,31.0,31.48183,Dosso,2020-05-31,1001447.7066348705,-4062026.6601788206
882,,,34,60.49991,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.660670000000003,Dosso,2020-06-01,1001447.7066348705,-4062026.6601788206
883,,,34,60.63768999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.73278,Dosso,2020-06-02,1001447.7066348705,-4062026.6601788206
884,,,34,60.74943,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.642689999999995,Dosso,2020-06-03,1001447.7066348705,-4062026.6601788206
885,,,34,60.75659,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.56286,Dosso,2020-06-04,1001447.7066348705,-4062026.6601788206
886,,,34,60.75659,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.56286,Dosso,2020-06-05,1001447.7066348705,-4062026.6601788206
887,,,34,60.30908,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.26536,Dosso,2020-06-06,1001447.7066348705,-4062026.6601788206
888,,,34,60.53223000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.64618,Dosso,2020-06-07,1001447.7066348705,-4062026.6601788206
889,,,34,61.56291,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.75379,Dosso,2020-06-08,1001447.7066348705,-4062026.6601788206
890,,,34,63.05852,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.56683,Dosso,2020-06-09,1001447.7066348705,-4062026.6601788206
891,76.29075821035741,71.29137950514071,34,64.0416,0.0,13.195701407046212,3.542856740001413,0.17247,98.52515631075607,2446823,,12.148,31.0,32.447990000000004,Dosso,2020-06-10,1001447.7066348705,-4062026.6601788206
892,,,34,64.82564,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.98869,Dosso,2020-06-11,1001447.7066348705,-4062026.6601788206
893,,,34,66.12903,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.38935,Dosso,2020-06-12,1001447.7066348705,-4062026.6601788206
894,,,34,66.44370000000002,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.71683,Dosso,2020-06-13,1001447.7066348705,-4062026.6601788206
895,,,34,66.12903,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,32.01425,Dosso,2020-06-14,1001447.7066348705,-4062026.6601788206
896,,,34,66.33389,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.558509999999995,Dosso,2020-06-15,1001447.7066348705,-4062026.6601788206
897,,,34,66.21148000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.500280000000004,Dosso,2020-06-16,1001447.7066348705,-4062026.6601788206
898,,,34,66.21148000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.500280000000004,Dosso,2020-06-17,1001447.7066348705,-4062026.6601788206
899,,,34,66.21148000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.500280000000004,Dosso,2020-06-18,1001447.7066348705,-4062026.6601788206
900,,,34,66.08631,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.24653,Dosso,2020-06-19,1001447.7066348705,-4062026.6601788206
901,115.225700623636,102.584457655477,34,66.33571999999998,0.0,13.195701407046212,3.542856740001413,0.1743231,97.86601632968252,2446823,,42.309,31.0,31.75216,Dosso,2020-06-20,1001447.7066348705,-4062026.6601788206
902,,,34,66.54969000000001,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.15996,Dosso,2020-06-21,1001447.7066348705,-4062026.6601788206
903,,,34,65.50194,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.558509999999995,Dosso,2020-06-22,1001447.7066348705,-4062026.6601788206
904,,,34,64.73059,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.54338,Dosso,2020-06-23,1001447.7066348705,-4062026.6601788206
905,,,34,64.55373,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.45719,Dosso,2020-06-24,1001447.7066348705,-4062026.6601788206
906,,,34,64.78591999999999,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,30.9688,Dosso,2020-06-25,1001447.7066348705,-4062026.6601788206
907,,,34,64.38456,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.80991,Dosso,2020-06-26,1001447.7066348705,-4062026.6601788206
908,,,34,65.11713000000002,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.24085,Dosso,2020-06-27,1001447.7066348705,-4062026.6601788206
909,,,34,65.21265,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.35224,Dosso,2020-06-28,1001447.7066348705,-4062026.6601788206
910,,,34,65.25974025974024,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.331168831168828,Dosso,2020-06-29,1001447.7066348705,-4062026.6601788206
911,110.756664549948,98.82514563020192,34,65.49601737871107,0.0,13.195701407046212,3.542856740001413,0.1821216,98.3820394254447,2446823,0.3693724665024608,24.495,31.0,31.082548877624912,Dosso,2020-06-30,1001447.7066348705,-4062026.6601788206
912,,,34,65.49601737871107,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.082548877624912,Dosso,2020-07-01,1001447.7066348705,-4062026.6601788206
913,,,34,65.68239106949946,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,30.914656103709035,Dosso,2020-07-02,1001447.7066348705,-4062026.6601788206
914,,,34,65.55836646187204,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,31.026382363570647,Dosso,2020-07-03,1001447.7066348705,-4062026.6601788206
915,,,34,65.32137518684604,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,30.86696562032885,Dosso,2020-07-04,1001447.7066348705,-4062026.6601788206
916,,,34,65.32137518684604,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,30.86696562032885,Dosso,2020-07-05,1001447.7066348705,-4062026.6601788206
917,,,34,65.46869210818821,0.0,13.195701407046212,3.542856740001413,,,2446823,,,31.0,30.381622823267875,Dosso,2020-07-06,1001447.7066348705,-4062026.6601788206
