adm1_code,adm1_name,Datetime,fcs,rcsi,data_type,pewi_6,pewi_6_cubic_intp,pewi_8,pewi_8_cubic_intp,rainfall_value,rainfall_value_cubic_intp,rainfall_1_month_anomaly,rainfall_1_month_anomaly_cubic_intp,rainfall_3_months_anomaly,rainfall_3_months_anomaly_cubic_intp,ndvi_value,ndvi_value_cubic_intp,ndvi_anomaly,ndvi_anomaly_cubic_intp,n_conflicts_Battles_anomaly_30days_lagged14days,n_fatalities_Battles_anomaly_30days_lagged14days,n_conflicts_Battles_rolsum_90days,n_fatalities_Battles_rolsum_90days,n_conflicts_Violence_against_civilians_anomaly_30days_lagged14days,n_fatalities_Violence_against_civilians_anomaly_30days_lagged14days,n_conflicts_Violence_against_civilians_rolsum_90days,n_fatalities_Violence_against_civilians_rolsum_90days,n_conflicts_Explosions/Remote_violence_anomaly_30days_lagged14days,n_fatalities_Explosions/Remote_violence_anomaly_30days_lagged14days,n_conflicts_Explosions/Remote_violence_rolsum_90days,n_fatalities_Explosions/Remote_violence_rolsum_90days,food_inflation,food_inflation_cubic_intp,headline_inflation,headline_inflation_cubic_intp,currency_exchange,currency_exchange_cubic_intp,Ramadan,Ramadan_past90days,day_num,day_of_week,Area,Lat,Lon,Waterways,population,Easting,Northing,Longitude,Latitude,MPI,MPI_incidence,MPI_intensity,Muslim,Christian
2229,Kwara,2023-03-22,0.3664599742868332,0.1794179397335024,SURVEY 90 days,,,,,,34.54501808574596,,1.5563117513001627,,1.3927315739962691,,0.40747109754913113,,0.9768141804315512,-2.0,-3.0,2.0,3.0,-3.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.485319067325424,,22.081093971033102,459.95,459.95,0.0,0.0,25,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-03-29,0.3428807549070445,0.184839694560309,SURVEY 90 days,,,,,,27.618044029534875,,1.270259779871996,,1.3152295103927436,,0.4275139830601688,,0.9746371586818068,-2.0,-3.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.518724550012845,,22.120998553791726,459.82,459.82,1.0,7.0,26,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-04-05,0.3320164648836919,0.1763902625005203,SURVEY 90 days,,,,,,25.075398617489817,,1.1856649271728028,,1.2240515421294176,,0.45054667431667245,,0.9735296832594676,-2.0,-3.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,24.55316393911067,,22.160859585594412,459.86,459.86,1.0,14.0,27,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-04-12,0.3327181353505947,0.1733506145152329,SURVEY 90 days,,,,,,34.188212278355195,,1.3341700743942926,,1.2599079765258003,,0.47677488859770684,,0.9735611164301107,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,24.591584725667307,,22.20182290375966,459.83,459.83,1.0,21.0,28,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-04-19,0.3425308212664102,0.1763337348803939,SURVEY 90 days,,,,,,38.85452471329937,,1.216408982554778,,1.2884844140051175,,0.50465459967201,,0.9748236524242203,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.63670875884218,,22.24495298273058,460.03,460.03,1.0,28.0,29,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-04-26,0.3289391371341033,0.1707871436503235,SURVEY 90 days,,,,,,42.42195358209771,,1.1239433552564277,,1.2427539603337285,,0.5333005413185445,,0.976692298465336,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24.687467809190764,,22.289947654902313,459.97,459.97,0.0,30.0,30,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-05-03,0.3293868462862157,0.1781041319996744,SURVEY 90 days,,,,,,53.846460867581555,,1.1795513168257046,,1.2223910730768417,,0.5615580302851583,,0.9787997167258979,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,24.7396487634409,,22.335370757593935,459.85,459.85,0.0,30.0,31,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-05-10,0.3129037078845641,0.1796646061609172,SURVEY 90 days,,,,,,62.94477700013584,,1.24225760740875,,1.2701297464414036,,0.5887663201041072,,0.9808502038637722,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,24.788943315648513,,22.379751803161458,460.06,460.06,0.0,30.0,32,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-05-17,0.3014248848092376,0.1649585701610438,SURVEY 90 days,,,,,,40.93506542800535,,1.1077589371474545,,1.2230392558284984,,0.6150334324698512,,0.9823273865574021,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,24.83115464796004,,22.421688449944067,460.2,460.2,0.0,30.0,33,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
2229,Kwara,2023-05-24,0.2896674389380976,0.1656652339065178,SURVEY 90 days,,,,,,61.08019106136762,,1.1461474414389543,,1.209305996089481,,0.6376049511641116,,0.9829008473024421,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,,24.871799342408135,,22.465715575066344,460.28,460.28,0.0,30.0,34,Wed,2.766244443504132,8.9659337636487,4.385168582923295,14.009771546189972,3201976,1103281.3243845657,-4530249.217982381,4.385168582923295,8.9659337636487,0.185,48.3,38.2,75.6,20.7
